winner = 2, loser = 1, round = 27
winner = 1, loser = 3, round = 24
winner = 4, loser = 1, round = 27
winner = 1, loser = 5, round = 41
winner = 1, loser = 6, round = 32
winner = 7, loser = 1, round = 32
winner = 1, loser = 8, round = 29
winner = 1, loser = 9, round = 24
winner = 1, loser = 10, round = 27
winner = 1, loser = 11, round = 25
winner = 1, loser = 12, round = 22
winner = 1, loser = 13, round = 28
winner = 14, loser = 1, round = 23
winner = 1, loser = 15, round = 37
winner = 16, loser = 1, round = 37
winner = 1, loser = 17, round = 28
winner = 18, loser = 1, round = 33
winner = 1, loser = 19, round = 31
winner = 20, loser = 1, round = 27
winner = 21, loser = 1, round = 39
winner = 1, loser = 22, round = 25
winner = 23, loser = 1, round = 33
winner = 24, loser = 1, round = 19
winner = 25, loser = 1, round = 21
winner = 1, loser = 26, round = 33
winner = 1, loser = 27, round = 19
winner = 28, loser = 1, round = 25
winner = 1, loser = 29, round = 27
winner = 1, loser = 30, round = 29
winner = 31, loser = 1, round = 27
winner = 1, loser = 32, round = 32
winner = 1, loser = 33, round = 27
winner = 1, loser = 34, round = 28
winner = 1, loser = 35, round = 33
winner = 36, loser = 1, round = 22
winner = 37, loser = 1, round = 36
winner = 1, loser = 38, round = 26
winner = 39, loser = 1, round = 28
winner = 40, loser = 1, round = 25
winner = 41, loser = 1, round = 28
winner = 42, loser = 1, round = 21
winner = 43, loser = 1, round = 36
winner = 44, loser = 1, round = 24
winner = 1, loser = 45, round = 41
winner = 46, loser = 1, round = 33
winner = 1, loser = 47, round = 31
winner = 1, loser = 48, round = 22
winner = 1, loser = 49, round = 37
winner = 50, loser = 1, round = 41
winner = 1, loser = 51, round = 23
winner = 52, loser = 1, round = 18
winner = 53, loser = 1, round = 37
winner = 1, loser = 54, round = 22
winner = 55, loser = 1, round = 29
winner = 56, loser = 1, round = 40
winner = 1, loser = 57, round = 23
winner = 1, loser = 58, round = 32
winner = 59, loser = 1, round = 23
winner = 60, loser = 1, round = 23
winner = 1, loser = 61, round = 36
winner = 1, loser = 62, round = 34
winner = 1, loser = 63, round = 25
winner = 1, loser = 64, round = 31
winner = 65, loser = 1, round = 35
winner = 1, loser = 66, round = 23
winner = 67, loser = 1, round = 22
winner = 1, loser = 68, round = 29
winner = 1, loser = 2, round = 18
winner = 3, loser = 2, round = 31
winner = 2, loser = 4, round = 30
winner = 2, loser = 5, round = 30
winner = 6, loser = 2, round = 20
winner = 2, loser = 7, round = 29
winner = 2, loser = 8, round = 22
winner = 2, loser = 9, round = 23
winner = 2, loser = 10, round = 34
winner = 2, loser = 11, round = 28
winner = 2, loser = 12, round = 29
winner = 13, loser = 2, round = 23
winner = 2, loser = 14, round = 33
winner = 2, loser = 15, round = 38
winner = 16, loser = 2, round = 25
winner = 2, loser = 17, round = 30
winner = 2, loser = 18, round = 29
winner = 2, loser = 19, round = 34
winner = 2, loser = 20, round = 19
winner = 2, loser = 21, round = 25
winner = 22, loser = 2, round = 19
winner = 23, loser = 2, round = 33
winner = 2, loser = 24, round = 31
winner = 2, loser = 25, round = 25
winner = 26, loser = 2, round = 23
winner = 2, loser = 27, round = 38
winner = 28, loser = 2, round = 21
winner = 2, loser = 29, round = 24
winner = 30, loser = 2, round = 26
winner = 31, loser = 2, round = 26
winner = 2, loser = 32, round = 18
winner = 33, loser = 2, round = 23
winner = 2, loser = 34, round = 39
winner = 35, loser = 2, round = 22
winner = 2, loser = 36, round = 30
winner = 37, loser = 2, round = 29
winner = 2, loser = 38, round = 23
winner = 39, loser = 2, round = 27
winner = 2, loser = 40, round = 26
winner = 41, loser = 2, round = 25
winner = 42, loser = 2, round = 30
winner = 43, loser = 2, round = 33
winner = 44, loser = 2, round = 32
winner = 45, loser = 2, round = 20
winner = 46, loser = 2, round = 33
winner = 2, loser = 47, round = 27
winner = 2, loser = 48, round = 37
winner = 2, loser = 49, round = 28
winner = 50, loser = 2, round = 42
winner = 2, loser = 51, round = 25
winner = 2, loser = 52, round = 33
winner = 2, loser = 53, round = 23
winner = 2, loser = 54, round = 27
winner = 55, loser = 2, round = 32
winner = 2, loser = 56, round = 31
winner = 2, loser = 57, round = 31
winner = 2, loser = 58, round = 28
winner = 2, loser = 59, round = 33
winner = 60, loser = 2, round = 27
winner = 2, loser = 61, round = 31
winner = 2, loser = 62, round = 28
winner = 2, loser = 63, round = 27
winner = 2, loser = 64, round = 23
winner = 65, loser = 2, round = 36
winner = 2, loser = 66, round = 18
winner = 2, loser = 67, round = 40
winner = 2, loser = 68, round = 26
winner = 3, loser = 1, round = 30
winner = 2, loser = 3, round = 28
winner = 3, loser = 4, round = 36
winner = 3, loser = 5, round = 27
winner = 3, loser = 6, round = 27
winner = 3, loser = 7, round = 28
winner = 3, loser = 8, round = 31
winner = 3, loser = 9, round = 35
winner = 3, loser = 10, round = 26
winner = 3, loser = 11, round = 38
winner = 3, loser = 12, round = 38
winner = 3, loser = 13, round = 35
winner = 3, loser = 14, round = 30
winner = 3, loser = 15, round = 31
winner = 3, loser = 16, round = 34
winner = 3, loser = 17, round = 25
winner = 3, loser = 18, round = 41
winner = 19, loser = 3, round = 30
winner = 3, loser = 20, round = 37
winner = 3, loser = 21, round = 24
winner = 3, loser = 22, round = 32
winner = 23, loser = 3, round = 48
winner = 3, loser = 24, round = 30
winner = 3, loser = 25, round = 39
winner = 3, loser = 26, round = 32
winner = 3, loser = 27, round = 33
winner = 3, loser = 28, round = 47
winner = 3, loser = 29, round = 32
winner = 3, loser = 30, round = 43
winner = 3, loser = 31, round = 29
winner = 32, loser = 3, round = 23
winner = 33, loser = 3, round = 22
winner = 34, loser = 3, round = 27
winner = 35, loser = 3, round = 29
winner = 3, loser = 36, round = 27
winner = 37, loser = 3, round = 34
winner = 3, loser = 38, round = 44
winner = 39, loser = 3, round = 19
winner = 3, loser = 40, round = 39
winner = 41, loser = 3, round = 25
winner = 42, loser = 3, round = 44
winner = 3, loser = 43, round = 27
winner = 3, loser = 44, round = 31
winner = 3, loser = 45, round = 34
winner = 3, loser = 46, round = 32
winner = 3, loser = 47, round = 23
winner = 3, loser = 48, round = 38
winner = 3, loser = 49, round = 39
winner = 50, loser = 3, round = 33
winner = 3, loser = 51, round = 31
winner = 3, loser = 52, round = 24
winner = 3, loser = 53, round = 43
winner = 3, loser = 54, round = 37
winner = 55, loser = 3, round = 34
winner = 3, loser = 56, round = 28
winner = 3, loser = 57, round = 31
winner = 3, loser = 58, round = 30
winner = 3, loser = 59, round = 42
winner = 60, loser = 3, round = 29
winner = 61, loser = 3, round = 26
winner = 3, loser = 62, round = 34
winner = 3, loser = 63, round = 20
winner = 3, loser = 64, round = 48
winner = 65, loser = 3, round = 40
