winner = 2, loser = 1, round = 24
winner = 3, loser = 1, round = 30
winner = 1, loser = 4, round = 28
winner = 5, loser = 1, round = 18
winner = 6, loser = 1, round = 25
winner = 7, loser = 1, round = 28
winner = 8, loser = 1, round = 31
winner = 1, loser = 9, round = 21
winner = 1, loser = 10, round = 19
winner = 11, loser = 1, round = 34
winner = 12, loser = 1, round = 22
winner = 13, loser = 1, round = 42
winner = 14, loser = 1, round = 25
winner = 15, loser = 1, round = 21
winner = 16, loser = 1, round = 42
winner = 2, loser = 1, round = 26
winner = 2, loser = 3, round = 22
winner = 4, loser = 2, round = 45
winner = 2, loser = 5, round = 27
winner = 6, loser = 2, round = 27
winner = 2, loser = 7, round = 24
winner = 8, loser = 2, round = 41
winner = 9, loser = 2, round = 30
winner = 2, loser = 10, round = 21
winner = 11, loser = 2, round = 35
winner = 12, loser = 2, round = 24
winner = 13, loser = 2, round = 48
winner = 2, loser = 14, round = 29
winner = 2, loser = 15, round = 27
winner = 16, loser = 2, round = 43
winner = 1, loser = 3, round = 27
winner = 3, loser = 2, round = 23
winner = 4, loser = 3, round = 27
winner = 5, loser = 3, round = 30
winner = 3, loser = 6, round = 28
winner = 3, loser = 7, round = 29
winner = 8, loser = 3, round = 35
winner = 3, loser = 9, round = 37
winner = 3, loser = 10, round = 33
winner = 3, loser = 11, round = 25
winner = 3, loser = 12, round = 24
winner = 13, loser = 3, round = 34
winner = 3, loser = 14, round = 33
winner = 15, loser = 3, round = 34
winner = 16, loser = 3, round = 36
winner = 4, loser = 1, round = 37
winner = 4, loser = 2, round = 27
winner = 3, loser = 4, round = 22
winner = 5, loser = 4, round = 24
winner = 4, loser = 6, round = 22
winner = 4, loser = 7, round = 22
winner = 8, loser = 4, round = 39
winner = 4, loser = 9, round = 33
winner = 4, loser = 10, round = 25
winner = 11, loser = 4, round = 28
winner = 12, loser = 4, round = 18
winner = 13, loser = 4, round = 33
winner = 4, loser = 14, round = 25
winner = 15, loser = 4, round = 31
winner = 16, loser = 4, round = 38
winner = 1, loser = 5, round = 23
winner = 5, loser = 2, round = 26
winner = 5, loser = 3, round = 36
winner = 5, loser = 4, round = 24
winner = 6, loser = 5, round = 18
winner = 5, loser = 7, round = 20
winner = 8, loser = 5, round = 31
winner = 5, loser = 9, round = 24
winner = 10, loser = 5, round = 30
winner = 11, loser = 5, round = 41
winner = 5, loser = 12, round = 18
winner = 13, loser = 5, round = 29
winner = 5, loser = 14, round = 26
winner = 5, loser = 15, round = 23
winner = 16, loser = 5, round = 38
winner = 6, loser = 1, round = 36
winner = 6, loser = 2, round = 30
winner = 3, loser = 6, round = 23
winner = 4, loser = 6, round = 32
winner = 6, loser = 5, round = 18
winner = 7, loser = 6, round = 18
winner = 8, loser = 6, round = 40
winner = 6, loser = 9, round = 27
winner = 10, loser = 6, round = 22
winner = 11, loser = 6, round = 27
winner = 6, loser = 12, round = 26
winner = 13, loser = 6, round = 42
winner = 6, loser = 14, round = 26
winner = 15, loser = 6, round = 25
winner = 16, loser = 6, round = 41
winner = 7, loser = 1, round = 22
winner = 7, loser = 2, round = 19
winner = 3, loser = 7, round = 24
winner = 4, loser = 7, round = 23
winner = 5, loser = 7, round = 23
winner = 6, loser = 7, round = 23
winner = 8, loser = 7, round = 29
winner = 9, loser = 7, round = 26
winner = 10, loser = 7, round = 31
winner = 11, loser = 7, round = 29
winner = 7, loser = 12, round = 32
winner = 13, loser = 7, round = 44
winner = 14, loser = 7, round = 25
winner = 15, loser = 7, round = 26
winner = 16, loser = 7, round = 39
winner = 8, loser = 1, round = 31
winner = 8, loser = 2, round = 39
winner = 8, loser = 3, round = 36
winner = 8, loser = 4, round = 30
winner = 8, loser = 5, round = 38
winner = 8, loser = 6, round = 38
winner = 8, loser = 7, round = 38
